timestamp,animal_id,species,forest,latitude,longitude,location_status,heart_rate,temperature,motion_detected,motion_type,episode_start_time,episode_end_time,behavior_duration_hours
01-01-2024 06:35,A001,Elephant,Yellowstone,-1.945311,30.044478,Distorted,89,36,Yes,Grazing,01-01-2024 06:35,01-01-2024 06:35,1.693679941
01-01-2024 06:40,A001,Elephant,Yellowstone,-1.945354238,30.0444207,Distorted,89,35.77,Yes,Grazing,01-01-2024 06:40,01-01-2024 06:58,0.3
01-01-2024 06:45,A001,Elephant,Yellowstone,-1.945441535,30.0447419,Distorted,90,35.78,Yes,Grazing,01-01-2024 06:45,01-01-2024 07:50,1.08
01-01-2024 06:50,A001,Elephant,Yellowstone,-1.945396943,30.04442919,Distorted,88,36.17,Yes,Grazing,01-01-2024 06:50,01-01-2024 08:11,1.35
01-01-2024 06:55,A001,Elephant,Yellowstone,-1.945356816,30.04466956,Distorted,86,35.88,Yes,Grazing,01-01-2024 06:55,01-01-2024 07:43,0.8
01-01-2024 07:00,A001,Elephant,Yellowstone,-1.945462717,30.04441874,Distorted,87,36.27,Yes,Grazing,01-01-2024 07:00,01-01-2024 08:35,1.58
01-01-2024 07:05,A001,Elephant,Yellowstone,-1.945170988,30.04419096,Distorted,87,36.07,Yes,Grazing,01-01-2024 07:05,01-01-2024 07:25,0.33
01-01-2024 07:10,A001,Elephant,Yellowstone,-1.945346887,30.04441422,Distorted,87,36.1,Yes,Grazing,01-01-2024 07:10,01-01-2024 09:00,1.83
01-01-2024 07:15,A001,Elephant,Yellowstone,-1.945340602,30.04443414,Distorted,89,36.26,Yes,Grazing,01-01-2024 07:15,01-01-2024 08:25,1.17
01-01-2024 07:20,A001,Elephant,Yellowstone,-1.945607008,30.04454752,Distorted,92,36.26,Yes,Grazing,01-01-2024 07:20,01-01-2024 07:58,0.63
01-01-2024 07:25,A001,Elephant,Yellowstone,-1.945081592,30.04452802,Distorted,86,35.96,Yes,Grazing,01-01-2024 07:25,01-01-2024 09:08,1.72
01-01-2024 07:30,A001,Elephant,Yellowstone,-1.945432009,30.0447381,Distorted,91,36.06,Yes,Grazing,01-01-2024 07:30,01-01-2024 08:41,1.18
01-01-2024 07:35,A001,Elephant,Yellowstone,-1.94555888,30.04441171,Distorted,88,36.16,Yes,Grazing,01-01-2024 07:35,01-01-2024 08:51,1.27
01-01-2024 07:40,A001,Elephant,Yellowstone,-1.945071841,30.0442249,Distorted,86,36.15,Yes,Grazing,01-01-2024 07:40,01-01-2024 08:13,0.55
01-01-2024 07:43,A001,Elephant,Yellowstone,-1.938296,30.044638,Distorted,84,36.9,Yes,Grazing,01-01-2024 06:35,01-01-2024 07:43,1.13
01-01-2024 07:45,A001,Elephant,Yellowstone,-1.945349174,30.04425722,Distorted,86,35.9,Yes,Grazing,01-01-2024 07:45,01-01-2024 08:16,0.52
01-01-2024 07:48,A001,Elephant,Yellowstone,-1.938514157,30.04474951,Distorted,82,36.89,Yes,Grazing,01-01-2024 07:48,01-01-2024 08:19,0.52
01-01-2024 07:50,A001,Elephant,Yellowstone,-1.945461649,30.04420632,Distorted,88,35.79,Yes,Grazing,01-01-2024 07:50,01-01-2024 08:23,0.55
01-01-2024 07:53,A001,Elephant,Yellowstone,-1.938100447,30.04467514,Distorted,82,37.05,Yes,Grazing,01-01-2024 07:53,01-01-2024 09:05,1.2
01-01-2024 07:55,A001,Elephant,Yellowstone,-1.945578932,30.04452894,Distorted,87,36.08,Yes,Grazing,01-01-2024 07:55,01-01-2024 08:53,0.97
01-01-2024 07:58,A001,Elephant,Yellowstone,-1.938234118,30.04457329,Distorted,85,37.09,Yes,Grazing,01-01-2024 07:58,01-01-2024 08:47,0.82
01-01-2024 08:00,A001,Elephant,Yellowstone,-1.945536729,30.04467648,Distorted,90,35.94,Yes,Grazing,01-01-2024 08:00,01-01-2024 08:28,0.47
01-01-2024 08:03,A001,Elephant,Yellowstone,-1.938511671,30.04453323,Distorted,83,37.05,Yes,Grazing,01-01-2024 08:03,01-01-2024 09:26,1.38
01-01-2024 08:05,A001,Elephant,Yellowstone,-1.945472078,30.04461378,Distorted,89,36.07,Yes,Grazing,01-01-2024 08:05,01-01-2024 08:51,0.77
01-01-2024 08:08,A001,Elephant,Yellowstone,-1.938329068,30.04452031,Distorted,86,36.61,Yes,Grazing,01-01-2024 08:08,01-01-2024 08:18,0.17
01-01-2024 08:10,A001,Elephant,Yellowstone,-1.945083275,30.04460301,Distorted,86,36.02,Yes,Grazing,01-01-2024 08:10,01-01-2024 09:42,1.53
01-01-2024 08:13,A001,Elephant,Yellowstone,-1.938595366,30.04464462,Distorted,82,37.18,Yes,Grazing,01-01-2024 08:13,01-01-2024 08:57,0.73
01-01-2024 08:15,A001,Elephant,Yellowstone,-1.945485021,30.0443195,Distorted,86,35.78,Yes,Grazing,01-01-2024 08:15,01-01-2024 09:45,1.5
01-01-2024 08:18,A001,Elephant,Yellowstone,-1.938300106,30.04475419,Distorted,85,36.97,Yes,Grazing,01-01-2024 08:18,01-01-2024 09:48,1.5
01-01-2024 08:23,A001,Elephant,Yellowstone,-1.938592257,30.0448525,Distorted,82,36.89,Yes,Grazing,01-01-2024 08:23,01-01-2024 10:01,1.63
01-01-2024 08:28,A001,Elephant,Yellowstone,-1.938270829,30.04477394,Distorted,84,37.01,Yes,Grazing,01-01-2024 08:28,01-01-2024 09:53,1.42
01-01-2024 08:33,A001,Elephant,Yellowstone,-1.938221403,30.04486583,Distorted,83,36.82,Yes,Grazing,01-01-2024 08:33,01-01-2024 08:45,0.2
01-01-2024 08:38,A001,Elephant,Yellowstone,-1.9380576,30.04444248,Distorted,86,37.18,Yes,Grazing,01-01-2024 08:38,01-01-2024 08:57,0.32
01-01-2024 08:43,A001,Elephant,Yellowstone,-1.938555867,30.04445216,Distorted,86,36.68,Yes,Grazing,01-01-2024 08:43,01-01-2024 09:32,0.82
01-01-2024 08:47,A001,Elephant,Amazon,-1.959084,30.042538,OK,86,38.5,No,Stationary,01-01-2024 08:47,01-01-2024 08:47,0
01-01-2024 08:48,A001,Elephant,Yellowstone,-1.938471511,30.04463585,Distorted,83,36.73,Yes,Grazing,01-01-2024 08:48,01-01-2024 09:33,0.75
01-01-2024 08:52,A001,Elephant,Amazon,-1.959162116,30.04248493,OK,89,38.29,No,Stationary,01-01-2024 08:52,01-01-2024 10:02,1.17
01-01-2024 08:53,A001,Elephant,Yellowstone,-1.938363206,30.04448068,Distorted,87,36.94,Yes,Grazing,01-01-2024 08:53,01-01-2024 09:38,0.75
01-01-2024 08:57,A001,Elephant,Amazon,-1.959112782,30.04249219,OK,83,38.61,No,Stationary,01-01-2024 08:57,01-01-2024 10:26,1.48
01-01-2024 08:58,A001,Elephant,Yellowstone,-1.938526681,30.04434181,Distorted,85,37.05,Yes,Grazing,01-01-2024 08:58,01-01-2024 10:39,1.68
01-01-2024 09:02,A001,Elephant,Amazon,-1.959120435,30.04247839,OK,88,38.36,No,Stationary,01-01-2024 09:02,01-01-2024 10:20,1.3
